time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,364,124,125,3
2026-04-28 00:00:00+00:00,106,36,31,4
2026-04-29 00:00:00+00:00,71,20,7,3
2026-04-30 00:00:00+00:00,28,10,0,0
2026-05-01 00:00:00+00:00,26,6,0,0
2026-05-02 00:00:00+00:00,127,31,0,0
2026-05-03 00:00:00+00:00,15,7,4,1
2026-05-04 00:00:00+00:00,35,12,3,2
2026-05-05 00:00:00+00:00,57,14,0,0
2026-05-06 00:00:00+00:00,28,10,0,0
2026-05-07 00:00:00+00:00,10,5,0,0
2026-05-08 00:00:00+00:00,14,8,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,11,6,0,0
