time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,0,0,3,1
2024-09-18 00:00:00+00:00,0,0,2,1
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,2,2,0,0
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,4,4,0,0
2024-09-24 00:00:00+00:00,0,0,4,1
2024-09-25 00:00:00+00:00,4,4,31,2
2024-09-26 00:00:00+00:00,27,18,14,2
2024-09-27 00:00:00+00:00,14,11,93,4
2024-09-28 00:00:00+00:00,1,1,2,1
2024-09-30 00:00:00+00:00,4,4,40,4
2024-10-01 00:00:00+00:00,3,2,1,1
2024-10-02 00:00:00+00:00,3,2,0,0
2024-10-04 00:00:00+00:00,2,1,0,0
2024-10-05 00:00:00+00:00,1,1,0,0
2024-10-06 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,1,1,22,1
2024-10-09 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,3,3,25,1
2024-10-11 00:00:00+00:00,12,10,54,2
2024-10-12 00:00:00+00:00,15,11,77,1
2024-10-13 00:00:00+00:00,33,17,169,4
2024-10-15 00:00:00+00:00,1,1,5,1
2024-10-17 00:00:00+00:00,2,1,0,0
2024-10-19 00:00:00+00:00,6,4,0,0
2024-10-20 00:00:00+00:00,0,0,8,2
2024-10-23 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,0,0,4,1
2024-10-28 00:00:00+00:00,35,18,1,1
