"V1","V2","V3"
134.139735019916,-4.70323142083309,0.001
133.95583460144,-4.69766980884193,30
134.04184078961,-5.12869469499277,0.001
133.867875107273,-5.0858335173196,30
133.914928703312,-5.54244584005969,0.001
133.757315458046,-5.46903195896353,30
133.672892139033,-5.91356857515365,0.001
133.534074616964,-5.80566408003038,30
133.376261039185,-6.22516702541572,0.001
133.257186411392,-6.09226915553557,30
133.03032671288,-6.48328725890492,0.001
132.925525508902,-6.34024407382923,30
132.679190637378,-6.74528882634574,0.001
132.60235634502,-6.58186985306242,30
