"V1","V2","V3"
112.121608365819,-7.29656726932203,0.001
112.081086329798,-7.8441162193517,30
112.581553417652,-7.36454865981214,0.001
112.506737442261,-7.9058628344614,30
113.026128620618,-7.43025829764407,0.001
112.956049989857,-7.97104193259748,30
113.472398136791,-7.4845641963712,0.001
113.411037721111,-8.02368764661391,30
113.924584868622,-7.53052302469195,0.001
113.865551449621,-8.07419270524499,30
114.374437808869,-7.57624465312739,0.001
114.315401542193,-8.12136265162506,30
114.82891853209,-7.62793234566467,0.001
114.763669826205,-8.16571584255873,30
115.276825340909,-7.69170958115903,0.001
115.213143737282,-8.21018832766028,30
115.729082715958,-7.75610629496049,0.001
115.65601109891,-8.25992138202044,30
116.177075398548,-7.81989576074557,0.001
116.108720385707,-8.33805142057081,30
116.616400014135,-7.87100121855568,0.001
116.562051757032,-8.41628882573855,30
117.062167076313,-7.90181968219308,0.001
117.030236208364,-8.44754679882564,30
117.511052229232,-7.93285371291477,0.001
117.503795847119,-8.46417465249871,30
117.960652574286,-7.92189185935533,0.001
117.971012318354,-8.45540020416928,30
118.414499856857,-7.89543438895602,0.001
118.429839205766,-8.44678332265591,30
118.867420342874,-7.86903095416143,0.001
118.874826954536,-8.44403844506518,30
119.335666990211,-7.87820648413239,0.001
119.324222503813,-8.44779665357363,30
119.791396169269,-7.89161027837132,0.001
119.778742614349,-8.44797453159554,30
120.248417073944,-7.90505207400321,0.001
120.22670560979,-8.45252829315011,30
120.719160560193,-7.9225037199924,0.001
120.664926576725,-8.48739627132696,30
121.171516530918,-7.98945240714087,0.001
121.101055924124,-8.53614692336914,30
121.61803416389,-8.05553701788457,0.001
121.555228770756,-8.59087686577521,30
122.048668657778,-8.11927092615798,0.001
122.030341450452,-8.6601318907125,30
122.469125992887,-8.0849850285556,0.001
122.52310828429,-8.62270592285506,30
122.913559359441,-8.02278697173685,0.001
122.98029895564,-8.56777984311558,30
123.356940363951,-7.96073619582123,0.001
123.436001800672,-8.51756922552098,30
123.801866329074,-7.89846920411936,0.001
123.888938030517,-8.44167199832686,30
124.245702225092,-7.836354764855,0.001
124.339736454335,-8.35240428801039,30
124.683665846523,-7.74891714358046,0.001
124.793045005262,-8.26263951911871,30
125.121312731648,-7.6464891434503,0.001
125.241065836203,-8.16199382334424,30
125.563775313233,-7.54293407577248,0.001
125.687146354625,-8.06105412115375,30
126.00467198646,-7.43974549360617,0.001
126.134690399614,-7.95814656528288,30
126.446716446165,-7.32526968666063,0.001
126.582213385116,-7.83778537258648,30
126.896965886791,-7.20781330850351,0.001
127.032783711416,-7.7205621640087,30
127.33745940816,-7.09290195557511,0.001
127.47799246038,-7.61035622816625,30
127.768811028517,-6.98037544307589,0.001
127.930494639742,-7.49834489924917,30
128.177812052353,-6.83408830188836,0.001
128.373261861622,-7.34207947307795,30
128.588675176923,-6.66889591004336,0.001
128.809940578926,-7.1703635015505,30
128.996548114411,-6.50490576197301,0.001
129.235904210401,-6.96101018606911,30
129.339407135251,-6.28040021169151,0.001
129.636230231031,-6.72225118765437,30
129.689452930578,-6.04502452378058,0.001
130.021374439889,-6.4712961335331,30
