"V1","V2","V3"
141.827279450738,-2.42231607368617,0.001
142.160000371088,-2.63730499266674,25
142.103531095374,-2.07416337837744,0.001
142.420082460158,-2.32367650332158,25
142.376900886472,-1.72964254092026,0.001
142.686693797742,-2.00217460941883,25
142.689975892683,-1.39886797977015,0.001
142.951064767999,-1.72091466375624,25
143.101857236712,-1.14907989926443,0.001
143.2727528254,-1.51885664572045,25
143.524469417093,-1.01348240556811,0.001
143.656173984597,-1.39591181951968,25
143.935231070176,-0.88168722438531,0.001
144.058801700492,-1.26680836780696,25
144.339953469373,-0.751829771923098,0.001
144.46353185015,-1.13703076670348,25
144.753624782674,-0.619101005791144,0.001
144.866881027611,-1.00769597528974,25
145.175851566083,-0.508272923819576,0.001
145.271716684726,-0.898361155795423,25
145.599518608587,-0.411434745222812,0.001
145.684949742203,-0.801870184254646,25
146.035931367743,-0.319983167047474,0.001
146.091662033289,-0.714117448027617,25
146.478747089496,-0.28917859237501,0.001
146.509222332209,-0.681405348238095,25
146.920593645739,-0.258441439773365,0.001
146.93266365584,-0.648232528562651,25
147.375720383571,-0.2617761676972,0.001
147.356056144667,-0.651443520474179,25
147.82449057863,-0.303717308737689,0.001
147.785273579415,-0.695845321941433,25
148.279565986334,-0.349296714611847,0.001
148.217797659104,-0.74253672291386,25
148.72323474213,-0.449339669162645,0.001
148.645318784023,-0.823361613528188,25
149.16143365792,-0.548149226291773,0.001
149.067868959042,-0.903246723126911,25
149.595577661394,-0.687255224057884,0.001
149.477620366045,-1.02968309473265,25
150.014643093758,-0.840318131040117,0.001
149.88463944317,-1.18519860915614,25
150.427393962945,-0.991074650450747,0.001
150.294301494394,-1.34172396884522,25
150.833368444517,-1.13935611335018,0.001
150.700564871821,-1.49695073843763,25
151.237696094888,-1.28703607202421,0.001
151.102533362324,-1.65053650741357,25
151.643532504155,-1.43526710126711,0.001
151.504851892808,-1.80425601882414,25
152.05746833076,-1.58645642511865,0.001
151.897184285121,-1.9541599874011,25
152.454156929102,-1.78103403939882,0.001
152.269096401169,-2.13659661169025,25
152.84277914079,-1.99544629675026,0.001
152.632025541328,-2.33496782119357,25
153.215624006616,-2.25399507337656,0.001
152.960115118872,-2.56351920445467,25
153.540682126669,-2.55847988774533,0.001
153.252407018983,-2.85163550990588,25
153.866968399073,-2.86411513447775,0.001
153.533572195817,-3.12878403350758,25
154.091294671416,-3.25729673443631,0.001
153.741100885149,-3.46545889685416,25
154.299549341241,-3.63909695874947,0.001
153.950767980984,-3.82911385512443,25
154.502320834933,-4.01084470642503,0.001
154.16214686072,-4.19573780558891,25
154.705368572637,-4.38309888758208,0.001
154.373956367718,-4.56310864732984,25
154.909536583038,-4.75740690775128,0.001
154.587210269496,-4.93298471596447,25
155.115644902263,-5.13527206610529,0.001
154.798280329632,-5.29907314357545,25
