"V1","V2","V3"
130.896636744315,-8.76392518521509,0.001
130.820446939565,-8.31154834424117,50
130.465950062197,-8.86561504208634,0.001
130.369695886479,-8.42264899048482,50
130.030933290674,-8.96832733255112,0.001
129.930403976784,-8.51987430652789,50
129.585493018055,-9.07350072712299,0.001
129.494631458638,-8.60476505863282,50
129.125794301754,-9.13950923042758,0.001
129.056900654179,-8.67466188942119,50
128.679225061425,-9.19739783852246,0.001
128.611655344204,-8.74206140923608,50
128.233470510741,-9.25518083180351,0.001
128.164853455428,-8.80969655972958,50
127.789748752587,-9.31270032083488,0.001
127.711144133401,-8.87837732932102,50
127.381447717875,-9.39331422658427,0.001
127.245485724818,-8.97320616895587,50
126.988974141476,-9.56959473618554,0.001
126.809131152178,-9.15822050222674,50
126.581055270541,-9.75281253097076,0.001
126.394176163923,-9.33416141933486,50
126.171805318049,-9.93662818910932,0.001
125.978610376753,-9.51036131193412,50
125.763306216295,-10.1201065993826,0.001
125.563538816912,-9.68635165801165,50
125.357820554528,-10.3022315149448,0.001
125.148601179782,-9.86228521492988,50
124.956796417369,-10.4966961106378,0.001
124.735787775704,-10.0511143600192,50
124.556455206012,-10.6982863643751,0.001
124.329091106602,-10.2492865553927,50
124.156167273513,-10.8998497915049,0.001
123.924493116869,-10.4464361238042,50
123.75702619383,-11.1008357223947,0.001
123.522512537603,-10.6423102949812,50
123.35682149358,-11.3023572403597,0.001
123.120595117926,-10.8381536872316,50
122.956364624909,-11.5040057308914,0.001
122.718787774695,-11.0339434528892,50
122.555878960686,-11.7056687237363,0.001
122.32969194828,-11.2232131360685,50
122.125020748362,-11.8746060687521,0.001
121.927437764273,-11.3935796192796,50
121.696718122237,-12.0400866790549,0.001
121.525291099644,-11.5639005071495,50
