"V1","V2","V3"
163.233170228055,-49.9651312406794,0.001
163.647618174074,-50.1494942268304,50
163.453746662052,-49.6104205680383,0.001
163.906460249707,-49.729092881579,50
163.681170516341,-49.241185413106,0.001
164.131943913178,-49.3501585870879,50
163.882599378645,-48.8553498479303,0.001
164.337553747558,-48.9578766613357,50
164.083992003358,-48.4695836968341,0.001
164.540873024148,-48.568377253797,50
164.263242646365,-48.0819903913698,0.001
164.7195473269,-48.1745884982203,50
164.447803208805,-47.6817096986436,0.001
164.903534106717,-47.7690913214717,50
164.60820563167,-47.2849748987389,0.001
165.062019509394,-47.3628634211504,50
164.750532104703,-46.8698560104369,0.001
165.196735194105,-46.9677983189439,50
164.969313134948,-46.4659492840605,0.001
165.419260175678,-46.6171071107774,50
165.287717617451,-46.0774436394604,0.001
165.726413145729,-46.2891606429241,50
165.680684634288,-45.7537405834895,0.001
166.087452206165,-45.9928881473013,50
166.063684690445,-45.4382477297068,0.001
166.463526111948,-45.6842778824728,50
166.451407769038,-45.1188643267741,0.001
166.838059244205,-45.3769319961552,50
166.8850327432,-44.761669582367,0.001
167.172638974341,-45.1023723647072,50
