"V1","V2","V3"
172.671846218317,-23.2015495796447,0.001
172.637355212946,-22.7236032248216,50
172.199769810234,-23.2919288972384,0.001
172.183671111626,-22.8268750609218,50
171.707971388771,-23.2403693821711,0.001
171.770070733389,-22.7794438254018,50
171.246639806115,-23.1920039741114,0.001
171.353642426274,-22.7316882834023,50
170.788833957522,-23.0486625772485,0.001
170.975195282997,-22.6254858228561,50
170.33929282108,-22.8409200844837,0.001
170.561333340126,-22.4328588343352,50
169.871478563094,-22.6247331895038,0.001
170.158268879514,-22.2452574076248,50
169.499095032778,-22.2997861020871,0.001
169.841763941074,-21.9781281807245,50
169.174119059297,-21.9554085761799,0.001
169.538489393787,-21.6875962668571,50
168.909445705257,-21.5743995142552,0.001
169.299998714047,-21.3418265227416,50
168.668704433865,-21.1885961979283,0.001
169.059991855722,-20.970202998941,50
168.429486215205,-20.8052336620809,0.001
168.818038776353,-20.5955659836872,50
168.199126891866,-20.4134550900243,0.001
168.586919058186,-20.2125778866398,50
167.976932964835,-20.0177672829365,0.001
168.361668845417,-19.8255708036862,50
167.753786479161,-19.6203831225183,0.001
168.14013910182,-19.4449559537726,50
167.557842317334,-19.1996025141066,0.001
167.959453820182,-19.06255122006,50
167.42565586325,-18.7694364278411,0.001
167.840735028724,-18.6518483748504,50
167.29677143916,-18.3500159283689,0.001
167.719646864344,-18.2329487738941,50
167.16776658907,-17.9302035280452,0.001
167.597581307201,-17.8106679334382,50
167.045018482527,-17.5307520598919,0.001
167.468967434063,-17.3657334510228,50
166.842063333984,-17.1672813217455,0.001
167.230525137799,-16.9590342745502,50
166.606115637577,-16.7821314070867,0.001
166.994628545127,-16.5846766387877,50
166.35946035461,-16.3795029193419,0.001
166.769210092666,-16.216828838409,50
166.229351115816,-15.9084788289915,0.001
166.658051705263,-15.7999848915242,50
166.099254887442,-15.4284686062316,0.001
166.541254083848,-15.3619938243294,50
166.07210924173,-14.9368496921742,0.001
166.526847581281,-14.9260856513594,50
166.075425469649,-14.4891589468069,0.001
166.538450706831,-14.486824626767,50
166.078581779982,-14.0630567719443,0.001
166.550796579739,-14.0194450117249,50
165.994373226771,-13.6640728356366,0.001
166.447857359181,-13.5624916861653,50
165.884612244588,-13.2452480296615,0.001
166.337449781983,-13.1334394620542,50
165.773529743481,-12.8213806025214,0.001
166.225457603328,-12.6982293391896,50
165.645891549508,-12.4125677171463,0.001
166.092165335053,-12.2608600379393,50
165.487359590977,-12.018639809435,0.001
165.935761339532,-11.8312997671403,50
165.306483979965,-11.65123830403,0.001
165.736959535682,-11.3988871398664,50
165.050245266484,-11.3025856287236,0.001
165.459523849418,-11.0509915950962,50
164.778338443543,-10.9326141057173,0.001
165.192230131936,-10.71581365827,50
