"V1","V2","V3"
162.264727099346,-11.5451722586449,0.001
162.318927207934,-11.1140350772474,50
161.798334996504,-11.4518937971762,0.001
161.936534362047,-11.0404980426939,50
161.354575720586,-11.2759994786703,0.001
161.575036874696,-10.8684337631582,50
160.965266765677,-11.0441638089291,0.001
161.217393872352,-10.6412020185386,50
160.579767767516,-10.8126411361763,0.001
160.841748150029,-10.4028417767732,50
160.194966086817,-10.5771159697694,0.001
160.462025717044,-10.1631947289793,50
159.808098819728,-10.3403265205343,0.001
160.082168432565,-9.92346258073224,50
159.427963709988,-10.0897145420474,0.001
159.707428392595,-9.68179986344429,50
159.0686499547,-9.81892736240817,0.001
159.330606237012,-9.42425954443428,50
158.701423260381,-9.59460923932776,0.001
158.921020279479,-9.19071796110602,50
158.311534873409,-9.41871974102605,0.001
158.504454685975,-9.00259156049232,50
157.909440512332,-9.23732378420001,0.001
158.102959947007,-8.82127135741369,50
157.512206410769,-9.05647903329804,0.001
157.709323507011,-8.64281080690725,50
157.107952078534,-8.8613217732069,0.001
157.313876182292,-8.45687200088597,50
156.683750833545,-8.6479238454166,0.001
156.951145508446,-8.26540017573503,50
156.322882623193,-8.33044536341514,0.001
156.64715527752,-7.99838172970641,50
156.022390220386,-8.00992013335986,0.001
156.33286140966,-7.67235051338398,50
155.691618605855,-7.76079603521674,0.001
155.963094921739,-7.37124094838826,50
155.318379666074,-7.53335355888101,0.001
155.558960185399,-7.1128765612301,50
154.871563133665,-7.35217697412112,0.001
155.1734761144,-6.93298400296722,50
154.53772015393,-6.97931339143904,0.001
154.864457518448,-6.65354177507652,50
154.239493457574,-6.64622902433871,0.001
154.542440821104,-6.32251761581336,50
153.901012496108,-6.3575764329626,0.001
154.168728286046,-6.01258525887159,50
153.546463846164,-6.09720476794402,0.001
153.779524715996,-5.73700012290792,50
153.180964888033,-5.87866269692597,0.001
153.358421602689,-5.49364140096446,50
152.818994778239,-5.76545884874123,0.001
152.887391450277,-5.30761836860057,50
152.441401748582,-5.76955733455595,0.001
152.336057836165,-5.3070176382965,50
152.08289680092,-5.94880981161689,0.001
151.876355495231,-5.51843154707119,50
151.695229275787,-6.14264357201364,0.001
151.445547268612,-5.72728085940076,50
151.330521025436,-6.38794687663534,0.001
151.069520379159,-6.00554075514035,50
150.935880855505,-6.66269636264434,0.001
150.710113967592,-6.26099703123707,50
150.48946317981,-6.85403569709279,0.001
150.31977699191,-6.43142585472581,50
150.040324578704,-7.01595187668735,0.001
149.913369510675,-6.58046615503682,50
149.580728620492,-7.11478971760328,0.001
149.471447749003,-6.67810002477522,50
149.144954707447,-7.21883029227856,0.001
149.01136152361,-6.80673320490623,50
148.734407119471,-7.40625422871013,0.001
148.591515920935,-6.96033521041857,50
