"V1","V2","V3"
121.505109244278,-11.4893228720246,0.001
121.51271937737,-11.0488421375636,50
121.046249035066,-11.4687768495039,0.001
121.066441514822,-11.0288808727458,50
120.595166215368,-11.4485791097446,0.001
120.615645224563,-11.0087174615532,50
120.138851535366,-11.4281471090619,0.001
120.159278044597,-10.9883048715335,50
119.681691555373,-11.4076772587643,0.001
119.702106244591,-10.9678562918303,50
119.225140185364,-11.3872346590879,0.001
119.245562564694,-10.9474358094535,50
118.76858059531,-11.3667916904004,0.001
118.789012454738,-10.9270150383329,50
118.312817015443,-11.3463843677153,0.001
118.333262384675,-10.9066300495155,50
117.857157675359,-11.3259817088962,0.001
117.877555784782,-10.8862470078293,50
117.399688685289,-11.3054980205091,0.001
117.420092394819,-10.865785386919,50
116.941759945342,-11.2849937491501,0.001
116.962148444747,-10.8453022687013,50
116.482921909347,-11.2644487657695,0.001
116.509669501149,-10.825063595455,50
116.015806225209,-11.2308285984676,0.001
116.063969335714,-10.7967716574736,50
115.560365614452,-11.1656286810607,0.001
115.622863886705,-10.7325601040276,50
115.110694975896,-11.1012547801591,0.001
115.175194465254,-10.6673930350992,50
114.66449773568,-11.0373781214956,0.001
114.72912630547,-10.602459063763,50
114.217009315665,-10.9733166214848,0.001
114.281768995028,-10.5373374268685,50
113.767575495709,-10.9089766218117,0.001
113.832633745514,-10.4719569829654,50
113.315933016096,-10.8443204383932,0.001
113.38097007555,-10.4062084735012,50
112.866927596112,-10.7800417680948,0.001
112.93208075542,-10.3408638245603,50
112.418213466127,-10.7158047980497,0.001
112.483535205076,-10.2755692168433,50
111.967085985653,-10.6512223318566,0.001
112.03335831472,-10.2100371386631,50
111.513406106149,-10.5862744785785,0.001
111.579851015121,-10.1440202559362,50
111.058057956948,-10.5210877973807,0.001
111.125615104446,-10.0778973063719,50
110.599772125963,-10.4523474795649,0.001
110.673293956888,-10.0100606255999,50
110.150932848321,-10.3760142707967,0.001
110.229518974717,-9.92973576333881,50
109.710503997905,-10.3011114033235,0.001
109.789952824568,-9.85017271403135,50
109.269237447821,-10.2260660738346,0.001
109.349287354674,-9.77041068336525,50
108.827649938665,-10.1509661600068,0.001
108.909032254437,-9.690722933779,50
108.381277351323,-10.0750524536086,0.001
108.467854641263,-9.61086820327211,50
107.930551864463,-9.99839845568153,0.001
108.024084297831,-9.53054418302928,50
107.459311968194,-9.91825561807851,0.001
107.608637934339,-9.4553469004691,50
107.008721979534,-9.71166640215366,0.001
107.231811660068,-9.27706370638588,50
106.609482795262,-9.49440601195389,0.001
106.837992413628,-9.06550790797386,50
106.210779848622,-9.27743743277518,0.001
106.442931582843,-8.85328515239733,50
105.812787509836,-9.06085555454884,0.001
106.046883490433,-8.64053204286469,50
105.418645218704,-8.84636881672194,0.001
105.651653701186,-8.42821852137353,50
105.024077559279,-8.63165060453468,0.001
105.255073620838,-8.21517963314661,50
104.626732188011,-8.41542079653391,0.001
104.856507692335,-8.00107397075269,50
104.231957988802,-8.20059018576084,0.001
104.460843911528,-7.78852731153402,50
103.838114098551,-7.98626583593306,0.001
104.065621620525,-7.57621781363513,50
103.442433510344,-7.77094198389638,0.001
103.669607321033,-7.36348286151753,50
103.043449323542,-7.5538203552916,0.001
103.274711556757,-7.15134877209697,50
102.628349353472,-7.32792873985891,0.001
102.893451964985,-6.94653990060803,50
102.256105927296,-7.01329469041682,0.001
102.570479049273,-6.69280386355619,50
101.948492392829,-6.6601087851252,0.001
102.285415515506,-6.36402451689208,50
101.652158334492,-6.31987337819024,0.001
101.993220390276,-6.02701991687238,50
101.35314480442,-5.97656154826314,0.001
101.694989283255,-5.68305369429624,50
101.057408843866,-5.6370128573475,0.001
101.399399514782,-5.34213386437647,50
100.76455738385,-5.30077599709979,0.001
101.107096023352,-5.00500427587442,50
100.475835294252,-4.9692802665683,0.001
100.818972663826,-4.67269586565021,50
100.185840711376,-4.63632351887011,0.001
100.529574554004,-4.3389172156873,50
99.8923901337589,-4.29939878704189,0.001
100.237070352255,-4.00155613696052,50
99.5961909728113,-3.95931826798669,0.001
99.9417364428979,-3.6609314062783,50
99.2988464524837,-3.61792270814093,0.001
99.6450548640245,-3.31875233543584,50
99.0017766636335,-3.27684258219689,0.001
99.352472242321,-2.98130081177978,50
98.7025859928585,-2.91908018284239,0.001
99.0758389899992,-2.64409872171324,50
98.4526188875749,-2.53341664668699,0.001
98.8377667842276,-2.27877375816153,50
98.2083839296204,-2.15659699768768,0.001
98.5942581173751,-1.90510648370832,50
97.9645736195312,-1.78043251875901,0.001
98.3501895765708,-1.53058006321582,50
97.7219976605074,-1.40617246816513,0.001
98.1067154940448,-1.15696584481514,50
97.4793713521013,-1.03183473707175,0.001
97.8631166687957,-0.783160221792712,50
97.236209829676,-0.656671238635805,0.001
97.6190192051352,-0.408589414177215,50
96.9937438806925,-0.282580917959348,0.001
97.3756134081806,-0.0350799922178887,50
96.7518600894598,0.0906112212469806,0.001
97.1328007089044,0.337519318246267,50
96.510262772342,0.463361363108891,0.001
96.8902850888759,0.709662758234941,50
96.267457171368,0.837975722500254,0.001
96.6465343571616,1.08370149709893,50
96.0248034728767,1.21235571437679,0.001
96.4023849411687,1.45835200882025,50
95.7827202038542,1.58585561489724,0.001
96.1594617998935,1.83112079810361,50
95.5579660834568,1.93261912065902,0.001
95.8998580507315,2.22948619338797,50
95.2470001976445,2.20482701554808,0.001
95.5313487851219,2.53800971832052,50
94.9039073360654,2.48993234521347,0.001
95.1866550448366,2.82323165646036,50
94.557370637934,2.77789946143256,0.001
94.8435412509484,3.10714623786763,50
94.2092317741897,3.06719795705269,0.001
94.5036386331847,3.3884036806174,50
