"V1","V2","V3"
123.206930511571,-4.39411142067023,0.001
123.002193872953,-4.64770148428016,30
123.569893456573,-4.61945099319455,0.001
123.390418670655,-4.8888478574286,30
123.944306987018,-4.8518993934785,0.001
123.771559972556,-5.12534117870389,30
124.319421316942,-5.08478287344144,0.001
124.147880042097,-5.35867233968015,30
124.697862689176,-5.3197318963914,0.001
124.519010759495,-5.58673575188757,30
125.05379393444,-5.57852014937728,0.001
124.859336415454,-5.83281922044513,30
125.373983175913,-5.84340236443856,0.001
125.193390371951,-6.10646444942505,30
125.741858556651,-6.04522055384539,0.001
125.594966753078,-6.33184715726932,30
126.16032222199,-6.21260601395411,0.001
126.010022341206,-6.50199967353763,30
126.578098659506,-6.4550703195531,0.001
126.369581906253,-6.69625408435041,30
126.860987121867,-6.82547122771852,0.001
126.596666979525,-6.98637527063383,30
127.064192039042,-7.22039319225033,0.001
126.772096204326,-7.34411134221073,30
