"V1","V2","V3"
130.800494351502,-8.56921010028232,0.001
130.676795983206,-8.11198116743256,25
130.359874426732,-8.67878875591666,0.001
130.243557946225,-8.21105805124128,25
129.915281032828,-8.78779840324779,0.001
129.808239512585,-8.30115500282936,25
129.464727600402,-8.87147261271543,0.001
129.373300146543,-8.39067395060685,25
129.017018607484,-8.95461857097081,0.001
128.935252553309,-8.45952504753803,25
128.571515528018,-9.02170631587019,0.001
128.49797374696,-8.514956194861,25
128.127615358322,-9.06582061464187,0.001
128.057081926912,-8.57158125595373,25
127.688523160346,-9.10945710291374,0.001
127.610966304039,-8.65149226387281,25
127.281823788372,-9.18388073513767,0.001
127.144656310817,-8.73502060953955,25
126.901535052388,-9.34411475121279,0.001
126.716297317137,-8.90544099632328,25
126.494597971731,-9.51557700284702,0.001
126.306104241955,-9.07625322043453,25
126.092551817433,-9.6849784724479,0.001
125.897457495666,-9.24306685945716,25
125.693904746301,-9.86008412677878,0.001
125.485940200292,-9.41105228777948,25
125.29472254437,-10.0437569206377,0.001
125.080630682492,-9.59360069127898,25
124.891506901233,-10.2292855891752,0.001
124.677067044234,-9.78897069996668,25
124.486979817015,-10.4157641536208,0.001
124.271701323179,-9.98533796403122,25
124.087071604502,-10.6157182636854,0.001
123.86722219596,-10.1842860045263,25
123.684757132938,-10.8168755018303,0.001
123.46291821576,-10.3831479028849,25
123.285114023223,-11.01725217174,0.001
123.056742808827,-10.5829302817222,25
122.891033993966,-11.2236750445589,0.001
122.659751097132,-10.786140664498,25
122.494098350128,-11.4315937174879,0.001
122.274722620241,-10.984128300051,25
122.075405717541,-11.6084925109117,0.001
121.88711009246,-11.1673236735404,25
121.612373193206,-11.7937055497805,0.001
121.521797359113,-11.3387438601087,25
