"V1","V2","V3"
122.222583398441,-2.74082415699735,0.001
122.029466851252,-3.16118905530938,30
122.536583671101,-2.83053858129492,0.001
122.350388658276,-3.26266400957416,30
122.889997513618,-2.98684346096322,0.001
122.636367298597,-3.35923957078217,30
123.17929485432,-3.28003775371926,0.001
122.807677087422,-3.53668278914896,30
123.350952237484,-3.64454905001065,0.001
122.919936239251,-3.76354378550704,30
123.38432010812,-4.05932574732111,0.001
122.941406422425,-3.95983168076034,30
123.206930493831,-4.40450934417791,0.001
122.804640718439,-4.16599795267641,30
